################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB140515A  |    6.33    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 16269; *Chornock R. et al. arXiv:1405.7400 (2014)"   
GRB140512A  |    0.725    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 16310"   
GRB140509A  |    2.4(?)    | bp |    N/A    |    "Marshall et al. GCN Circ. 16241 (UVOT)"   
GRB140506A  |    0.889    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 16217"   
GRB140430A  |    1.60    | ba |     N/A     |    "Kruehler T. et al. GCN Circ. 16194"   
GRB140428A  |    4.7(?)    | "Damped Lyman Alpha" |    N/A    |    "Perley D.A. GCN Circ. 16181"   
GRB140423A  |    3.26    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 16150"   
GRB140419A  |    3.956    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 16125"   
GRB140331A  |    4.65    | bp |    +0.34 -2.80    |    "Littlejohns O. et al. GCN Circ. 16050"   
GRB140318A  |    1.02    | he |     N/A     |    "Tanvir N.R. et al. GCN Circ. 15988"   
GRB140311A  |    4.954    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 15961; D'Avanzo P. et al. GCN Circ. 15964; *Chornock R. et al. GCN Circ. 15966"   
GRB140304A  |    5.283    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 15924; *Jeong S. et al. GCN Circ. 15936"   
GRB140301A  |    1.416    | ba |     N/A     |    "Kruehler T. et al. GCN Circ. 15900"   
GRB140213A  |    1.2076    | ba |     N/A     |    "Schulze S. et al. GCN Circ. 15831"   
GRB140206A  |    2.73    | ba |     N/A     |    "*Malesani D. et al. GCN Circ. 15800; D'Elia V. et al. GCN Circ. 15802"   
GRB140114A  |     3.0    | "Host Lyman-alpha break" |    +0.1 -0.1    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB131227A  |    5.3(?)    | "Afterglow Lyman-alpha drop" |    N/A    |    "Cucchiara et al. GCN Circ. 15624"   
GRB131117A  |    4.042    | ba |     N/A     |    "Hartoog O.E. et al. GCN Circ. 15494"   
GRB131105A  |    1.686    | ba |     N/A     |    "Xu D. et al. GCN Circ. 15450"   
GRB131103A  |    0.5955    | ba |     N/A     |    "Xu D. et al. GCN Circ. 15451"   
GRB131030A  |    1.293    | ba |     N/A     |    "*Xu D. et al. GCN Circ. 15407; de Ugarte Postigo A. et al. GCN Circ. 15408"   
GRB131004A  |    0.717    | ba |     N/A     |    "*Chornock R. et al. GCN Circ. 15307; D'Elia V. et al. GCN 15310"   
GRB130925A  |    0.348    | he |     N/A     |    "Vreeswijk P.M. et al. GCN Circ. 15249; Sudilovsky V. et al. GCN Circ. 15250; *Evans P.A. et al. arXiv:1403.4079 (2014)"   
GRB130907A  |    1.238    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 15187"   
GRB130831A  |    0.4791    | ba |     N/A     |    "Cucchiara A. & Perley D.A. GCN Circ. 15144"   
GRB130701A  |    1.155    | ba |     N/A     |    "Xu D. et al. GCN Circ. 14956"   
GRB130612A  |    2.006    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 14882"   
GRB130610A  |    2.092    | ba |     N/A     |    "Smette A. et al. GCN Circ. 14848"   
GRB130606A  |    5.9134    | ba |     N/A     |    "Castro-Tirado A.J. et al. GCN Circ. 14796; Lunnan R. et al. GCN Circ. 14798; Xu D. et al. GCN Circ. 14816; *Chornock R. et al. ApJ 774 26 (2013); Castro-Tirado A.J. et al. arXiv:1312.5631 (2013)"   
GRB130604A  |    1.06    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 14762"   
GRB130603B  |    0.3565    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 14744; Foley R.J. et al. GCN Circ. 14745; Sanchez-Ramirez R. et al. GCN Circ. 14747; Cucchiara A. et al. GCN Circ. 14748; Xu D. et al. GCN Circ. 14757; Cucchiara A. et al. ApJ 777 94 (2013); *de Ugarte Postigo A. et al. A&A 563 A62 (2014)"   
GRB130528A  |    1.250    | he |     N/A     |    "Jeong S. et al. arXiv:1404.0939 (2014)"   
GRB130518A  |    2.488    | ba |     N/A     |    "Sanchez-Ramirez R. et al. GCN Circ. 14685; *Cucchiara A. et al. GCN Circ. 14687"   
GRB130514A  |    3.6    | bp |    +0.2 -0.2    |    "Schmidl S. et al. GCN Circ. 14634"   
GRB130511A  |    1.3033    | ba |     N/A     |    "Cucchiara A. & Tanvir N.R. GCN Circ. 14621"   
GRB130505A  |    2.27    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 14567"   
GRB130427B  |    2.78    | ba |     N/A     |    "Flores H. et al. GCN Circ. 14493"   
GRB130427A  |    0.3399    | ba |     N/A     |    "Levan A.J. et al. GCN Circ. 14455; Xu D. et al. GCN Circ. 14478; Flores H. et al. GCN Circ. 14491; Garnavich P. GCN Circ. 14605; Wiersema K. et al. GCN Circ. 14617; Sokolov V.V. et al. GCN Circ. 14669; *Xu D. et al. ApJ 776 98 (2013); Perley D.A. et al. ApJ 781 37 (2014)"   
GRB130420A  |    1.297    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 14437"   
GRB130418A  |    1.218    | ba |     N/A     |    "*de Ugarte Postigo A. et al. GCN Circ. 14380; Kruehler T. et al. GCN Circ. 14390"   
GRB130408A  |    3.758    | ba |     N/A     |    "*Hjorth J. et al. GCN Circ. 14365; Tanvir N.R. et al. GCN Circ. 14466"   
GRB130215A  |    0.597    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 14207"   
GRB130131B  |    2.539    | he |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 14286"   
GRB121229A  |    2.707    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 14120"   
GRB121217A  |    3.1    | bp |    +0.1 -0.1     |    "Elliott J. et al. A&A 562 A100 (2014)"   
GRB121211A  |    1.023    | ba |     N/A     |    "Perley D.A. et al. GCN Circ. 14059"   
GRB121209A  |    2.1    | "Host Balmer break" |    +0.3 -0.3    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB121201A  |    3.385    | ba |     N/A     |    "Sanchez-Ramirez R. et al. GCN Circ. 14035"   
GRB121128A  |    2.20    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 14009"   
GRB121027A  |    1.773    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 13929; Kruehler T. et al. GCN Circ. 13930;  *Levan A.J. et al. ApJ 781 13 (2014)"   
GRB121024A  |    2.298    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 13890"   
GRB120923A  |    7.84    | "Burst afterglow Lyman-alpha break" |    +0.06 -0.12    |    "Tanvir N.R. arXiv:1703.09052 (2017)"   
GRB120922A  |    3.1    | bp |    +0.2 -0.2    |    "Kunst F. et al. GCN Circ. 13810"   
GRB120909A  |    3.93    | ba |     N/A     |    "Hartoog O.E. et al. GCN Circ. 13730"   
GRB120907A  |    0.970    | ba |     N/A     |    "Sanchez-Ramirez R. et al. GCN Circ. 13723"   
